Team,PTS,3PM,3PA,FGM,FGA,FTM,FTA,3P%,FG%,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,2PM,2PA,2P%,team_img,team_name,DEF_ACTIONS
LAC,10954,1144,3081,3949,8278,1912,2515,32.68,46.37,67.08,986,3266,4252,2592,1391,666,429,1814,2805,5197,51.39,https://cdn.nba.com/logos/nba/1610612746/global/L/logo.svg,Los Angeles Clippers,4361
ATL,10625,995,2844,3938,8274,1754,2136,23.87,46.08,73.63,1032,2974,4006,2140,1084,649,437,1693,2943,5430,54.05,https://cdn.nba.com/logos/nba/1610612737/global/L/logo.svg,Atlanta Hawks,4060
LAL,10492,1115,3111,3828,7985,1721,2182,32.82,42.75,67.46,881,3102,3983,2162,1149,597,385,1530,2713,4874,45.58,https://cdn.nba.com/logos/nba/1610612747/global/L/logo.svg,Los Angeles Lakers,4084
NYK,10225,1105,3144,3720,7949,1680,2233,28.59,46.16,68.79,1142,3198,4340,2158,1114,587,352,1839,2615,4805,54.26,https://cdn.nba.com/logos/nba/1610612752/global/L/logo.svg,New York Knicks,4137
PHI,10078,1090,2849,3579,7371,1830,2194,32.77,46.42,69.77,767,2905,3672,2165,1140,661,418,1828,2489,4522,56.01,https://cdn.nba.com/logos/nba/1610612755/global/L/logo.svg,Philadelphia 76ers,3984
TOR,10068,931,2763,3761,8127,1615,2091,28.2,45.03,72.11,1196,2830,4026,2189,1053,820,481,1773,2830,5364,51.39,https://cdn.nba.com/logos/nba/1610612761/global/L/logo.svg,Toronto Raptors,4131
DEN,9968,961,2544,3787,7387,1433,1906,39.4,51.32,71.31,898,2883,3781,2436,1171,629,379,1592,2826,4843,57.42,https://cdn.nba.com/logos/nba/1610612743/global/L/logo.svg,Denver Nuggets,3891
BOS,9942,1371,3634,3552,7484,1467,1808,30.14,45.66,71.7,820,3036,3856,2225,1057,532,449,1613,2181,3850,54.43,https://cdn.nba.com/logos/nba/1610612738/global/L/logo.svg,Boston Celtics,4017
SAC,9913,1130,3072,3579,7256,1625,2057,28.77,45.58,60.64,788,2707,3495,2239,1080,577,276,1619,2449,4184,51.38,https://cdn.nba.com/logos/nba/1610612758/global/L/logo.svg,Sacramento Kings,3560
MEM,9852,1041,2931,3680,7751,1451,1974,29.18,46.52,68.62,993,2909,3902,2170,1087,698,477,1684,2639,4820,55.95,https://cdn.nba.com/logos/nba/1610612763/global/L/logo.svg,Memphis Grizzlies,4084
IND,9801,1167,3174,3522,7557,1590,2002,29.69,45.33,76.28,827,2676,3503,2312,1197,650,473,1758,2355,4383,54.11,https://cdn.nba.com/logos/nba/1610612754/global/L/logo.svg,Indiana Pacers,3799
GSW,9669,1371,3555,3503,7340,1292,1621,35.09,47.82,76.99,856,2767,3623,2454,1285,601,318,1746,2132,3785,55.43,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg,Golden State Warriors,3686
PHX,9600,954,2577,3562,7412,1522,1910,33.51,46.36,76.09,926,2757,3683,2212,1112,578,473,1729,2608,4835,50.77,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg,Phoenix Suns,3808
NOP,9579,907,2485,3539,7355,1594,2001,32.05,47.91,73.45,884,2746,3630,2143,1185,691,338,1700,2632,4870,52.49,https://cdn.nba.com/logos/nba/1610612740/global/L/logo.svg,New Orleans Pelicans,3775
MIL,9454,1192,3226,3477,7323,1308,1771,34.45,45.29,78.87,867,2950,3817,2111,1123,497,392,1449,2285,4097,54.07,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg,Milwaukee Bucks,3839
BKN,9399,1172,3051,3409,7200,1409,1837,30.26,45.25,71.97,811,2744,3555,2200,1032,663,516,1869,2237,4149,52.4,https://cdn.nba.com/logos/nba/1610612751/global/L/logo.svg,Brooklyn Nets,3923
DAL,9369,1211,3288,3318,6932,1522,1999,32.74,49.89,65.0,592,2525,3117,1803,948,491,316,1673,2107,3644,58.02,https://cdn.nba.com/logos/nba/1610612742/global/L/logo.svg,Dallas Mavericks,3332
CHI,9307,868,2415,3488,7123,1463,1804,33.88,47.56,69.98,727,2856,3583,1995,1037,676,397,1636,2620,4708,55.86,https://cdn.nba.com/logos/nba/1610612741/global/L/logo.svg,Chicago Bulls,3929
OKC,9274,940,2648,3405,7313,1524,1856,34.94,45.74,70.2,899,2514,3413,1978,1006,645,298,1640,2465,4665,54.39,https://cdn.nba.com/logos/nba/1610612760/global/L/logo.svg,Oklahoma City Thunder,3457
MIN,9261,974,2687,3427,7033,1433,1915,32.47,47.67,79.18,748,2701,3449,2221,1187,667,447,1816,2453,4346,55.19,https://cdn.nba.com/logos/nba/1610612750/global/L/logo.svg,Minnesota Timberwolves,3815
POR,9245,1092,2992,3291,6997,1571,1961,32.35,45.42,64.44,715,2338,3053,1789,1079,548,398,1643,2199,4005,51.17,https://cdn.nba.com/logos/nba/1610612757/global/L/logo.svg,Portland Trails Brazers,3284
MIA,9127,1035,2999,3251,7120,1590,1902,28.64,46.15,80.86,808,2678,3486,2006,1070,647,231,1505,2216,4121,54.43,https://cdn.nba.com/logos/nba/1610612748/global/L/logo.svg,Miami Heat,3556
